529213305;1;1928;;0
529269025;1;5341;;0
529271365;1;1943;;0
529271381;2;7010;;0
529271382;1;7010;;0
529271607;1;5337;;0
529271653;1;7009;;0
529271716;1;7020;;0
529271717;1;7020;;0
529271718;1;7020;;0
529271739;1;6156;;0
529271954;1;7009;;0
529272079;1;7010;;0
529272130;1;1913;;0
529272157;1;7010;;0
529272158;1;7751;;0
529272159;1;7751;;0
529272248;1;7009;;0
529272288;1;5337;;0
529272289;1;5338;;0
529272494;1;7010;;0
529272499;1;5338;;0
529272630;1;1943;;0
529272630;1;1930;;0
529272667;1;5339;;0
529272698;1;7020;;0
529272824;1;5346;;0
529272840;1;5338;;0
529273002;1;5337;;0
529273008;1;1943;;0
529273192;1;5342;;0
529273252;1;7782;;0
529273256;2;7749;;0
529273257;2;7749;;0
529273258;2;7749;;0
529273259;2;7749;;0
529273260;2;7749;;0
529273261;2;7749;;0
529273262;2;7749;;0
529273263;2;7749;;0
529273264;1;7749;;0
529273265;1;7749;;0
529273484;1;7010;;0
529273496;1;5338;;0
529273497;1;5338;;0
529273498;1;5338;;0
529273561;1;7749;;0
529273783;1;5337;;0
529273871;1;5337;;0
529273873;1;5342;;0
529273874;2;5342;;0
529274021;1;6154;;0
529274071;1;6158;;0
529274072;1;6158;;0
529274104;1;5336;;0
529274130;1;5341;;0
529274187;1;5398;;0
529274394;1;6158;;0
529274395;1;6158;;0
529274433;1;5344;;0
529274570;1;5338;;0
529274773;1;1945;;0
529274790;1;7782;;0
529274791;1;7782;;0
529274792;1;7782;;0
529275041;3;1944;;0
529275044;1;5338;;0
529275045;1;5338;;0
529275064;1;1908;;0
529275091;1;1913;;0
529275233;1;7782;;0
529275241;1;1944;;0
529275270;1;7009;;0
529275364;1;7010;;0
529275382;1;5338;;0
529275383;1;7751;;0
529275384;1;7751;;0
529275422;1;7008;;0
529275640;1;7009;;0
529275854;1;7750;;0
529275860;1;5336;;0
529275861;1;5336;;0
529275889;1;5336;;0
529275890;1;5336;;0
529275957;1;5339;;0
529276098;1;5342;;0
529276195;2;7750;;0
529276262;1;7752;;0
529276280;2;7750;;0
529276281;1;7750;;0
529276333;1;7750;;0
529276334;2;7750;;0
529276344;2;1918;;0
529276394;1;7755;;0
529276533;1;7750;;0
529276828;1;5336;;0
529276993;1;7009;;0
529277147;1;1944;;0
529277157;1;6154;;0
529277260;1;7782;;0
529277577;1;5337;;0
529277752;1;1946;;0
529277776;1;1944;;0
529278053;1;7008;;0
529278089;1;5339;;0
529278120;1;7014;;0
529278160;1;7010;;0
529278161;1;7010;;0
529278162;1;7010;;0
529278237;1;1946;;0
529278344;1;5341;;0
529278345;1;5341;;0
529278346;1;5341;;0
529278472;1;7009;;0
529278546;4;7008;;0
529278595;1;5337;;0
529278715;1;7010;;0
529278717;1;7010;;0
529278803;1;5339;;0
529278828;1;7752;;0
529278877;2;7008;;0
529278955;1;5338;;0
529278956;1;5338;;0
529278957;1;5339;;0
529279802;1;7782;;0
529280077;1;5341;;0
529280262;1;7020;;0
529280296;1;7020;;0
529281181;1;5342;;0
529281346;1;7019;;0
529281722;1;7782;;0
529282338;1;7782;;0
529282400;1;5341;;0
529282401;1;5341;;0
529283158;1;7782;;0
529283612;1;5342;;0
529283719;1;7782;;0
529283968;1;5341;;0
529284386;1;7782;;0
529284592;1;7782;;0
529285122;1;7755;;0
876244279;1;1944;;0
876558511;1;1918;;0
877172908;1;1943;;0
877172910;1;1943;;0
877205961;2;1943;;0
